symbol,direction,entry,sl,tp1,pnl,date
MGC.F,long,5059.2998,5049.2998,5089.2998,600.0,2026-02-13
MGC.F,long,5155.7998,5145.7998,5185.7998,600.0,2026-02-18
MGC.F,long,5206.3999,5196.3999,5236.3999,600.0,2026-02-19
MGC.F,long,5194.2002,5184.2002,5224.2002,600.0,2026-02-20
MGC.F,long,5247.8999,5237.8999,5277.8999,600.0,2026-02-23
MGC.F,long,5123.7002,5113.7002,5153.7002,600.0,2026-02-25
MGC.F,long,5134.7002,5124.7002,5164.7002,600.0,2026-02-26
MGC.F,long,5078.7002,5068.7002,5108.7002,600.0,2026-02-27
MGC.F,long,5158.7002,5148.7002,5188.7002,600.0,2026-03-02
MGC.F,long,5103.7002,5093.7002,5133.7002,600.0,2026-03-03
MGC.F,long,5242.1001,5232.1001,5272.1001,600.0,2026-03-04
MGC.F,long,5179.1001,5169.1001,5209.1001,600.0,2026-03-05
MGC.F,long,5125.7998,5115.7998,5155.7998,600.0,2026-03-06
MGC.F,long,5061.7002,5051.7002,5091.7002,600.0,2026-03-09
MGC.F,long,5002.2002,4992.2002,5032.2002,600.0,2026-03-10
MGC.F,long,5008.2002,4998.2002,5038.2002,600.0,2026-03-11
MGC.F,long,4896.2002,4886.2002,4926.2002,600.0,2026-03-12
MGC.F,long,4605.7002,4595.7002,4635.7002,600.0,2026-03-13
MGC.F,long,4574.8999,4564.8999,4604.8999,600.0,2026-03-16
MGC.F,long,4407.2998,4397.2998,4437.2998,600.0,2026-03-17
MGC.F,long,4402.0,4392.0,4432.0,600.0,2026-03-18
MGC.F,long,4792.2002,4782.2002,4822.2002,600.0,2026-04-02
MGC.F,long,4800.0,4790.0,4830.0,600.0,2026-04-09
MGC.F,long,4698.3999,4688.3999,4728.3999,600.0,2026-04-15
